"Gmina","TERYT"
"Targówek","1465118"
"Tarłów","2606072"
"Tarnawatka","0618092"
"Tarnogród","0602123"
"Tarnowiec","1805112"
"Tarnowo Podgórne","3021172"
"Tarnowskie Góry","2413041"
"Tarnów","1216092"
"Tarnówka","3031062"
"Tarnów Opolski","1609112"
"Tczew","2214011"
"Tczew","2214062"
"Tczów","1436042"
"Telatyn","0618102"
"Teresin","1428082"
"Terespol","0601021"
"Terespol","0601162"
"Tereszpol","0602132"
"Tłuchowo","0408082"
"Tłuszcz","1434113"
"Tokarnia","1209082"
"Tolkmicko","2804093"
"Tomaszów Lubelski","0618011"
"Tomaszów Lubelski","0618112"
"Tomaszów Mazowiecki","1016011"
"Tomaszów Mazowiecki","1016092"
"Tomice","1218082"
"Topólka","0411072"
"Torzym","0807053"
"Toszek","2405073"
"Trawniki","0617052"
"Trąbki Wielkie","2204082"
"Trojanów","1403122"
"Troszyn","1415112"
"Tryńcza","1814082"
"Trzciana","1201082"
"Trzcianka","3002073"
"Trzcianne","2008072"
"Trzciel","0803063"
"Trzcinica","3008072"
"Trzcińsko-Zdrój","3206083"
"Trzebiatów","3205083"
"Trzebiechów","0809082"
"Trzebiel","0811082"
"Trzebielino","2201092"
"Trzebieszów","0611092"
"Trzebinia","1203053"
"Trzebnica","0220033"
"Trzebownisko","1816132"
"Trzemeszno","3003093"
"Trzeszczany","0604062"
"Trzyciąż","1212062"
"Trzydnik Duży","0607072"
"Tuchola","0416063"
"Tuchomie","2201102"
"Tuchów","1216103"
"Tuczępy","2601072"
"Tuczna","0601172"
"Tuczno","3217043"
"Tuliszków","3027073"
"Tułowice","1609122"
"Tuplice","0811092"
"Turawa","1609132"
"Turek","3027011"
"Turek","3027082"
"Turobin","0602142"
"Turośl","2006062"
"Turośń Kościelna","2002112"
"Tuszów Narodowy","1811092"
"Tuszyn","1006113"
"Twardogóra","0214083"
"Tworóg","2413082"
"Tychowo","3201042"
"Tyczyn","1816143"
"Tykocin","2002123"
"Tymbark","1207122"
"Tyrawa Wołoska","1817062"
"Tyszowce","0618123"
"Uchanie","0604072"
"Udanin","0218052"
"Ujazd","1016102"
"Ujazd","1611063"
"Ujsoły","2417142"
"Ujście","3019073"
"Ulan-Majorat","0615072"
"Ulanów","1812073"
"Ulhówek","0618132"
"Ułęż","0616062"
"Uniejów","1011043"
"Unisław","0404072"
"Ursus","1465128"
"Ursynów","1465138"
"Urszulin","0619052"
"Urzędów","0607082"
"Ustka","2212011"
"Ustka","2212102"
"Ustronie Morskie","3208072"
"Ustroń","2403021"
"Ustrzyki Dolne","1801083"
"Uście Gorlickie","1205102"
"Uścimów","0608132"
"Wadowice","1218093"
"Wadowice Górne","1811102"
"Waganiec","0401082"
"Walce","1605042"
"Walim","0221082"
"Wałbrzych","0265011"
"Wałcz","3217011"
"Wałcz","3217052"
"Wapno","3028062"
"Warka","1406113"
"Warlubie","0414112"
"Warnice","3212062"
"Warta","1014093"
"Warta Bolesławiecka","0201062"
"Wartkowice","1011052"
"Wasilków","2002133"
"Waśniów","2607062"
"Wawer","1465148"
"Wąbrzeźno","0417011"
"Wąbrzeźno","0417052"
"Wąchock","2611053"
"Wądroże Wielkie","0205062"
"Wągrowiec","3028011"
"Wągrowiec","3028072"
"Wąpielsk","0412062"
"Wąsewo","1416102"
"Wąsosz","0204043"
"Wąsosz","2004062"
"Wąwolnica","0614102"
"Wejherowo","2215031"
"Wejherowo","2215102"
"Werbkowice","0604082"
"Wesoła","1465158"
"Węgierska Górka","2417152"
"Węgliniec","0225063"
"Węgorzewo","2819033"
"Węgorzyno","3218053"
"Węgrów","1433011"
"Wiązowna","1417082"
"Wiązownica","1804112"
"Wiązów","0217053"
"Wicko","2208052"
"Widawa","1003042"
"Widuchowa","3206092"
"Wieczfnia Kościelna","1413092"
"Wielbark","2817082"
"Wieleń","3002083"
"Wielgie","0408092"
"Wielgomłyny","1012132"
"Wielichowo","3005053"
"Wieliczka","1219053"
"Wieliczki","2813062"
"Wieliszew","1408052"
"Wielka Nieszawka","0415082"
"Wielka Wieś","1206152"
"Wielkie Oczy","1809082"
"Wielopole Skrzyńskie","1815052"
"Wielowieś","2405082"
"Wieluń","1017093"
"Wieniawa","1423082"
"Wieprz","1218102"
"Wieruszów","1018073"
"Wierzbica","0603122"
"Wierzbica","1425112"
"Wierzbinek","3010132"
"Wierzbno","1433092"
"Wierzchlas","1017102"
"Wierzchosławice","1216112"
"Wierzchowo","3203052"
"Wietrzychowice","1216122"
"Więcbork","0413043"
"Wijewo","3013062"
"Wilamowice","2402093"
"Wilanów","1465168"
"Wilczęta","2802072"
"Wilczyce","2609082"
"Wilczyn","3010142"
"Wilga","1403132"
"Wilkołaz","0607092"
"Wilkowice","2402102"
"Wilków","0612072"
"Wilków","1606052"
"Winnica","1424062"
"Wińsko","0222022"
"Wiskitki","1438052"
"Wisła","2403031"
"Wisznia Mała","0220042"
"Wisznice","0601182"
"Wiślica","2601082"
"Wiśniew","1426112"
"Wiśniewo","1413102"
"Wiśniowa","1209092"
"Wiśniowa","1819052"
"Witkowo","3003103"
"Witnica","0801073"
"Witonia","1004082"
"Wizna","2007082"
"Wiżajny","2012092"
"Wleń","0212053"
"Władysławowo","2211041"
"Władysławów","3027092"
"Włochy","1465178"
"Włocławek","0418132"
"Włodawa","0619011"
"Włodawa","0619062"
"Włodowice","2416092"
"Włoszakowice","3013072"
"Włoszczowa","2613063"
"Wodynie","1426122"
"Wodzierady","1003052"
"Wodzisław","2602092"
"Wodzisław Śląski","2415041"
"Wohyń","0615082"
"Wojaszówka","1807092"
"Wojciechowice","2606082"
"Wojciechów","0609132"
"Wojcieszków","0611102"
"Wojcieszów","0226011"
"Wojkowice","2401031"
"Wojnicz","1216132"
"Wojsławice","0603132"
"Wola","1465188"
"Wola Krzysztoporska","1010102"
"Wola Mysłowska","0611112"
"Wolanów","1425122"
"Wola Uhruska","0619072"
"Wolbórz","1010112"
"Wolbrom","1212073"
"Wolin","3207063"
"Wolsztyn","3029033"
"Wołczyn","1604043"
"Wołomin","1434123"
"Wołów","0222033"
"Woźniki","2407083"
"Wólka","0609142"
"Wręczyca Wielka","2406092"
"Wrocław-Fabryczna","0264029"
"Wrocław-Krzyki","0264039"
"Wrocław-Psie Pole","0264049"
"Wrocław-Stare Miasto","0264059"
"Wrocław-Śródmieście","0264069"
"Wronki","3024083"
"Wróblew","1014102"
"Września","3030053"
"Wschowa","0812033"
"Wydminy","2806102"
"Wymiarki","0810082"
"Wyry","2408052"
"Wyryki","0619082"
"Wyrzysk","3019083"
"Wysoka","3019093"
"Wysokie","0609152"
"Wysokie Mazowieckie","2013011"
"Wysokie Mazowieckie","2013102"
"Wyszki","2003082"
"Wyszków","1435053"
"Wyszogród","1419153"
"Wyśmierzyce","1401063"
"Zabierzów","1206162"
"Zabłudów","2002143"
"Zabór","0809092"
"Zabrodzie","1435062"
"Zadzim","1011062"
"Zagnańsk","2604192"
"Zagórów","3023083"
"Zagórz","1817073"
"Zagrodno","0226052"
"Zakliczyn","1216142"
"Zaklików","1818052"
"Zakopane","1217011"
"Zakroczym","1414063"
"Zakrzew","0609162"
"Zakrzew","1425132"
"Zakrzewo","0401092"
"Zakrzewo","3031072"
"Zakrzówek","0607102"
"Zalesie","0601192"
"Zaleszany","1818062"
"Zalewo","2807073"
"Załuski","1420122"
"Zambrów","2014011"
"Zambrów","2014052"
"Zamość","0620142"
"Zaniemyśl","3025052"
"Zapolice","1019032"
"Zaręby Kościelne","1416112"
"Zarszyn","1817082"
"Zarzecze","1814092"
"Zator","1213093"
"Zatory","1424072"
"Zawady","2002152"
"Zawadzkie","1611073"
"Zawichost","2609093"
"Zawidów","0225011"
"Zawidz","1427072"
"Zawiercie","2416021"
"Zawoja","1215082"
"Zawonia","0220052"
"Ząbki","1434031"
"Ząbkowice Śląskie","0224053"
"Zbąszynek","0808063"
"Zbąszyń","3015063"
"Zbiczno","0402102"
"Zblewo","2213132"
"Zbójna","2007092"
"Zbójno","0405062"
"Zbrosławice","2413092"
"Zbuczyn","1426132"
"Zduny","1005102"
"Zduny","3012063"
"Zduńska Wola","1019011"
"Zduńska Wola","1019042"
"Zdzieszowice","1605053"
"Zebrzydowice","2403122"
"Zelów","1001083"
"Zembrzyce","1215092"
"Zębowice","1608072"
"Zgierz","1020031"
"Zgierz","1020092"
"Zgorzelec","0225021"
"Zgorzelec","0225072"
"Zielona Góra","0809102"
"Zielonka","1434041"
"Zielonki","1206172"
"Ziębice","0224063"
"Zławieś Wielka","0415092"
"Złocieniec","3203063"
"Złoczew","1014113"
"Złota","2608052"
"Złotniki Kujawskie","0407092"
"Złotoryja","0226021"
"Złotoryja","0226062"
"Złotów","3031011"
"Złotów","3031082"
"Złoty Stok","0224073"
"Zwierzyn","0806052"
"Zwierzyniec","0620153"
"Zwoleń","1436053"
"Żabia Wola","1405062"
"Żabno","1216153"
"Żagań","0810021"
"Żagań","0810092"
"Żarki","2409053"
"Żarnowiec","2416102"
"Żarnów","1007082"
"Żarów","0219083"
"Żary","0811021"
"Żary","0811102"
"Żegocina","1201092"
"Żelazków","3007112"
"Żelechlinek","1016112"
"Żelechów","1403143"
"Żerków","3006043"
"Żmigród","0220063"
"Żmudź","0603142"
"Żnin","0419063"
"Żoliborz","1465198"
"Żołynia","1810072"
"Żółkiewka","0606112"
"Żórawina","0223092"
"Żukowice","0203062"
"Żukowo","2205083"
"Żurawica","1813102"
"Żuromin","1437063"
"Żychlin","1002113"
"Żyraków","1803072"
"Żyrardów","1438011"
"Żyrzyn","0614112"
"Żytno","1012142"
"Żywiec","2417011"
